"date_yyyymmdd","depth_m","latitude_dd","longitude_dd","o2_at_gear_ml_per_l_der","operation_dim$operation_type","performance","project","temperature_at_gear_c_der","trawl_id","year","year_stn_invalid"
"20100717","96.9000","32.78166667","-117.37388889","2.0860","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010178","2010",""
"20100715","1005.3000","32.54722222","-118.62083333","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.9607","201003017169","2010",""
"20111013","834.1000","32.93666667","-118.23194444","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201103008155","2011",""
"20110603","414.9000","45.74777778","-124.76722222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201103010043","2011",""
"20110528","285.0000","45.66222222","-124.60388889","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201103017037","2011",""
"20110824","852.5000","47.89833333","-125.40916667","0.3347","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201103018020","2011",""
"20120820","127.5000","46.63277778","-124.52333333","1.3512","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","7.0013","201203008010","2012",""
"20120916","979.1000","41.40833333","-124.84888889","0.2795","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.8932","201203008088","2012",""
"20140705","106.8000","35.35277778","-120.99277778","2.7258","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","10.0100","201403020144","2014",""
"20090925","492.8000","39.25416667","-124.01666667","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","200903008095","2009",""
"20141011","674.9000","32.49083333","-118.72472222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201403010145","2014",""
"20121008","92.2000","34.09444444","-119.83111111","3.2711","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","10.5229","201203017358","2012",""
"20120822","148.7000","48.15805556","-125.57138889","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203008016","2012",""
"20130607","346.1000","44.89722222","-124.66138889","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.7490","201303017048","2013",""
"20130608","351.7000","45.73722222","-124.76166667","0.9183","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.8467","201303020045","2013",""
"20130714","91.5000","34.08416667","-119.70500000","2.0796","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","9.5630","201303020166","2013",""
"20130719","451.8000","33.23055556","-117.55111111","0.5225","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","7.2544","201303020180","2013",""
"20140827","61.0000","46.58861111","-124.26888889","1.3070","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.6049","201403008020","2014",""
"20140703","1094.3000","36.01666667","-121.85611111","0.4128","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.9262","201403017140","2014",""
"20140530","79.0000","45.88388889","-124.11250000","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","7.3327","201403020030","2014",""
"20150716","312.3000","32.78250000","-117.83666667","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201503008181","2015",""
"20151011","73.6000","34.08111111","-120.18805556","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201503010145","2015",""
"20150920","1127.3000","39.53833333","-124.16916667","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.4824","201503017096","2015",""
"20151017","65.5000","33.78277778","-118.46944444","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201503017182","2015",""
"20150525","161.1000","46.12138889","-124.63250000","1.6434","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","6.6263","201503020011","2015",""
"20150704","89.3000","35.34861111","-120.96250000","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201503020148","2015",""
"20140827","88.6000","46.75972222","-124.45750000","1.2958","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.5299","201403008021","2014",""
"20140827","79.4000","46.79083333","-124.40472222","0.9984","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.5545","201403008022","2014",""
"20150523","860.4000","44.29972222","-125.04333333","0.1848","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","4.1444","201503008002","2015",""
"20150523","1185.4000","44.59805556","-125.06944444","0.3475","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.3373","201503008003","2015",""
"20100701","62.1000","37.36500000","-122.58500000","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003017116","2010",""
"20150523","474.5000","44.62861111","-124.87277778","0.5606","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.3911","201503008004","2015",""
"20150523","532.2000","44.60611111","-124.88194444","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.5418","201503008005","2015",""
"20150523","726.2000","44.80916667","-124.96027778","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","4.6019","201503008006","2015",""
"20150524","850.7000","45.61666667","-125.14333333","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","4.0989","201503008007","2015",""
"20150524","900.2000","45.62944444","-125.17527778","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.8343","201503008008","2015",""
"20150524","471.7000","45.66611111","-124.75944444","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.3356","201503008009","2015",""
"20150524","854.9000","45.85361111","-124.85805556","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","4.0606","201503008010","2015",""
"20150524","194.7000","45.98944444","-124.65472222","1.5406","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.5633","201503008011","2015",""
"20150524","170.8000","45.92250000","-124.58861111","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.9545","201503008012","2015",""
"20150525","167.1000","46.06750000","-124.61361111","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.5806","201503008013","2015",""
"20100930","1061.3000","36.19361111","-122.23416667","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003008131","2010",""
"20150525","148.1000","46.15583333","-124.54222222","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.6532","201503008014","2015",""
"20150525","512.0000","46.30250000","-124.68194444","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.0040","201503008015","2015",""
"20150525","1087.7000","46.51083333","-124.83194444","0.2935","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.3889","201503008017","2015",""
"20150525","94.5000","46.75916667","-124.47055556","2.4099","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.4248","201503008018","2015",""
"20150526","75.7000","47.59666667","-124.70000000","2.1575","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.4452","201503008020","2015",""
"20150526","103.5000","47.82861111","-124.89972222","2.6764","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.4874","201503008021","2015",""
"20150526","158.1000","47.96583333","-125.16083333","1.9832","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.1416","201503008022","2015",""
"20150526","118.8000","48.20777778","-125.16944444","2.2617","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.7949","201503008023","2015",""
"20091019","559.3000","32.83055556","-117.86722222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","200903008171","2009",""
"20150526","309.5000","48.30222222","-124.96166667","1.7502","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.3052","201503008024","2015",""
"20150527","146.4000","48.16166667","-125.49333333","1.7550","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.7013","201503008025","2015",""
"20150527","135.4000","48.12472222","-125.46888889","2.3456","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.9707","201503008026","2015",""
"20150527","141.5000","48.03166667","-125.48388889","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201503008027","2015",""
"20150527","143.7000","48.13000000","-125.50722222","1.9291","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.8083","201503008028","2015",""
"20150527","218.8000","48.01166667","-125.62166667","1.8790","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.4885","201503008029","2015",""
"20150528","466.2000","47.87138889","-125.30472222","0.6718","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.1158","201503008030","2015",""
"20150528","969.4000","47.68666667","-125.29166667","0.1846","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.7152","201503008031","2015",""
"20101013","455.9000","32.76583333","-120.11555556","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003008171","2010",""
"20150528","155.3000","47.79694444","-125.04444444","1.9648","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.9993","201503008032","2015",""
"20150528","455.3000","47.58611111","-125.11138889","0.8994","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.4061","201503008033","2015",""
"20100607","1066.4000","44.67000000","-125.04694444","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010057","2010",""
"20150528","183.0000","47.53583333","-124.96083333","1.8888","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.8553","201503008034","2015",""
"20150528","171.9000","47.35277778","-124.77500000","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.8975","201503008035","2015",""
"20150528","225.4000","47.29416667","-124.88777778","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.7299","201503008036","2015",""
"20150529","217.2000","46.79472222","-124.85694444","1.7498","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.3579","201503008037","2015",""
"20100713","465.1000","33.30694444","-119.90527778","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003017160","2010",""
"20130709","61.1000","35.37555556","-120.92944444","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201303020158","2013",""
"20100714","455.5000","32.31694444","-118.88194444","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003017166","2010",""
"20100718","71.4000","33.96388889","-119.61000000","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003017182","2010",""
"20150529","135.8000","46.85583333","-124.69972222","1.6217","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.8880","201503008038","2015",""
"20120520","1039.0000","44.55055556","-125.01888889","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017001","2012",""
"20150529","135.1000","46.82083333","-124.67805556","1.6701","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.8611","201503008039","2015",""
"20120520","893.2000","44.49833333","-125.01000000","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017002","2012",""
"20100608","122.6000","44.20416667","-124.88083333","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010061","2010",""
"20150529","113.4000","46.77805556","-124.56944444","2.2480","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.1622","201503008040","2015",""
"20120525","144.5000","48.03138889","-125.26277778","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017016","2012",""
"20120525","144.4000","48.05111111","-125.23166667","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017018","2012",""
"20120714","680.7000","32.40888889","-119.64305556","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017180","2012",""
"20120822","144.4000","48.16861111","-125.48500000","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017216","2012",""
"20100608","134.6000","44.20916667","-124.91583333","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010062","2010",""
"20150530","120.6000","46.22500000","-124.36083333","1.8670","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.9081","201503008041","2015",""
"20150530","119.8000","46.18472222","-124.39083333","1.6508","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.7935","201503008042","2015",""
"20150530","117.9000","46.09305556","-124.35333333","1.5843","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.7300","201503008043","2015",""
"20150531","127.4000","46.01277778","-124.34722222","1.3864","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.5581","201503008044","2015",""
"20090706","275.3000","37.94138889","-123.44972222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","200903010119","2009",""
"20100608","725.6000","44.13944444","-125.01000000","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010063","2010",""
"20120916","1066.1000","40.18222222","-125.00944444","0.4152","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017291","2012",""
"20110711","115.1000","33.79527778","-119.94222222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201103017159","2011",""
"20121015","451.6000","33.54194444","-118.67944444","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017381","2012",""
"20120902","228.1000","44.47833333","-124.79805556","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017247","2012",""
"20130620","1196.1000","41.81888889","-125.06027778","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201303020086","2013",""
"20120716","286.6000","32.75944444","-117.80500000","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017186","2012",""
"20150531","139.9000","45.98777778","-124.38916667","1.4128","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.5498","201503008045","2015",""
"20140530","302.8000","48.19416667","-125.21666667","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201403017023","2014",""
"20120906","107.1000","43.17666667","-124.61444444","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017263","2012",""
"20150531","151.6000","45.86333333","-124.41833333","1.4018","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.5998","201503008046","2015",""
"20130707","170.8000","34.70277778","-120.85416667","1.9770","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","9.5089","201303020148","2013",""
"20150531","169.7000","45.69111111","-124.42416667","2.1029","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.8617","201503008047","2015",""
"20150531","174.2000","45.61750000","-124.41000000","2.2370","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.9093","201503008048","2015",""
"20150531","422.5000","45.41166667","-124.52972222","0.9207","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.6345","201503008049","2015",""
"20150601","131.9000","45.32833333","-124.17861111","2.4564","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.1207","201503008050","2015",""
"20130920","136.4000","40.06805556","-124.22638889","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201303008089","2013",""
"20150601","347.6000","45.13638889","-124.38861111","1.0506","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.0721","201503008051","2015",""
"20150601","522.2000","45.24611111","-124.72000000","0.5525","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.2943","201503008052","2015",""
"20101015","298.0000","32.76527778","-117.79666667","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003018179","2010",""
"20100524","691.2000","46.30555556","-124.78166667","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010008","2010",""
"20150601","607.0000","45.18416667","-124.76000000","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","4.9965","201503008053","2015",""
"20150601","463.9000","44.99916667","-124.64611111","0.6949","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.5293","201503008054","2015",""
"20100622","1040.5000","40.30666667","-124.96555556","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010106","2010",""
"20150602","168.1000","45.09194444","-124.26916667","2.0965","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.2019","201503008055","2015",""
"20150606","72.9000","44.70083333","-124.24333333","2.0275","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.4597","201503008056","2015",""
"20100718","438.5000","32.88833333","-117.88194444","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010182","2010",""
"20101011","202.0000","34.20361111","-120.53194444","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003018162","2010",""
"20140825","1002.3000","45.64555556","-124.84388889","0.2372","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","3.6441","201403010002","2014",""
"20150606","428.6000","45.00722222","-124.54972222","0.8877","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.9480","201503008057","2015",""
"20150606","238.8000","44.82916667","-124.54611111","1.5593","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.8229","201503008058","2015",""
"20150606","89.0000","44.59833333","-124.46638889","2.5591","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.6541","201503008059","2015",""
"20150607","72.0000","44.39611111","-124.27944444","2.3820","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.5546","201503008060","2015",""
"20100825","138.2000","48.06194444","-125.14111111","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003008022","2010",""
"20100826","448.4000","47.88416667","-125.30027778","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003008027","2010",""
"20150607","138.0000","44.34694444","-124.75527778","2.5116","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.5655","201503008062","2015",""
"20150607","120.4000","44.17583333","-124.63750000","1.6982","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.5180","201503008063","2015",""
"20150607","662.1000","44.01138889","-124.97333333","0.2828","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","4.7509","201503008064","2015",""
"20150608","75.0000","44.11444444","-124.25583333","1.6467","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.5591","201503008065","2015",""
"20120711","129.4000","34.18444444","-120.49111111","1.5953","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","9.2953","201203010159","2012",""
"20120705","437.4000","34.86222222","-121.29638889","0.3989","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.0304","201203010152","2012",""
"20120705","1113.6000","34.96972222","-121.58027778","0.4988","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.8731","201203010153","2012",""
"20120706","73.9000","35.36527778","-120.92805556","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","10.5173","201203010154","2012",""
"20120706","195.7000","35.23333333","-120.98694444","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","8.3500","201203010156","2012",""
"20120710","220.0000","34.13277778","-120.62277778","1.1320","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","8.7531","201203010157","2012",""
"20120710","926.8000","33.92666667","-120.53361111","0.3314","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","4.4850","201203010158","2012",""
"20150608","65.6000","44.00750000","-124.22916667","1.9318","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.6987","201503008066","2015",""
"20090721","1188.4000","32.62833333","-117.49722222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","200903017161","2009",""
"20150608","183.0000","43.94805556","-124.60500000","1.9682","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.3636","201503008067","2015",""
"20120524","1293.1000","47.95138889","-125.77972222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017013","2012",""
"20100824","107.0000","47.74583333","-124.91888889","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003008018","2010",""
"20150608","387.1000","43.75555556","-124.66472222","0.9778","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","5.9667","201503008068","2015",""
"20090924","1236.2000","39.91805556","-124.50888889","","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.0079","200903008094","2009",""
"20100611","141.5000","43.95611111","-124.93555556","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010071","2010",""
"20100713","78.2000","33.86555556","-120.07333333","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010159","2010",""
"20101002","65.8000","35.58500000","-121.19444444","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003018140","2010",""
"20100525","998.7000","47.82416667","-125.51000000","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003017013","2010",""
"20150608","120.6000","43.64444444","-124.40861111","1.8456","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.5883","201503008069","2015",""
"20090827","309.8000","45.03805556","-124.43666667","1.4053","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.8390","200903008001","2009",""
"20090827","398.7000","45.23083333","-124.44472222","0.8132","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.0903","200903008002","2009",""
"20090827","400.2000","45.29666667","-124.48333333","0.7960","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.0994","200903008003","2009",""
"20090827","220.7000","45.37444444","-124.37138889","1.5634","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.2269","200903008004","2009",""
"20100526","162.0000","48.18250000","-125.62055556","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003017014","2010",""
"20090827","177.9000","45.48083333","-124.32416667","1.3427","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.3192","200903008005","2009",""
"20090828","68.1000","45.66361111","-124.04333333","1.1348","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.7272","200903008006","2009",""
"20090828","200.3000","45.70555556","-124.53083333","1.4604","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.2130","200903008007","2009",""
"20090828","163.7000","46.03527778","-124.59444444","1.1919","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.2346","200903008008","2009",""
"20090828","1030.4000","46.23972222","-124.98611111","0.2786","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.6937","200903008009","2009",""
"20090829","714.2000","46.86444444","-125.14972222","0.2809","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","4.5259","200903008010","2009",""
"20090829","150.1000","46.99777778","-124.79250000","0.9465","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.2612","200903008011","2009",""
"20090829","96.4000","47.32916667","-124.64916667","0.7321","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.3990","200903008012","2009",""
"20090829","196.4000","47.55888889","-125.00888889","1.1775","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.0989","200903008013","2009",""
"20090829","717.1000","47.43166667","-125.22250000","0.2862","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","4.4695","200903008014","2009",""
"20090830","1204.1000","47.54527778","-125.51222222","0.4254","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","3.1573","200903008015","2009",""
"20090830","813.3000","47.96555556","-125.73833333","0.2494","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","4.1771","200903008016","2009",""
"20090830","273.4000","47.94361111","-125.47750000","1.1198","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.7587","200903008017","2009",""
"20090830","144.5000","48.03722222","-125.14305556","1.1413","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.1905","200903008018","2009",""
"20140828","89.7000","47.18250000","-124.62916667","1.8385","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.5855","201403008023","2014",""
"20090830","144.6000","48.09166667","-125.17444444","0.5404","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.1262","200903008019","2009",""
"20090831","204.1000","48.39666667","-124.80694444","0.8053","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.0666","200903008020","2009",""
"20090831","122.8000","48.30361111","-124.88138889","0.4987","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.1935","200903008021","2009",""
"20090831","203.1000","48.28916667","-125.09027778","1.1248","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","6.8735","200903008022","2009",""
"20090831","139.6000","48.06916667","-125.15638889","0.7797","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.1792","200903008023","2009",""
"20090831","95.2000","47.96583333","-124.92861111","1.0269","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.3235","200903008024","2009",""
"20090901","99.0000","46.96027778","-124.61250000","1.0901","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.4261","200903008025","2009",""
"20090901","90.5000","46.92500000","-124.53972222","0.9006","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.4158","200903008026","2009",""
"20090901","155.5000","46.65000000","-124.64888889","1.1675","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.3622","200903008027","2009",""
